Start,Finish,Notes,2016 price (£),2017 (£),2018 (£) estimated,Increase 2016 to 2017 (£),2018 (£) expected 3.6% rise,2018 (£) if CPI were used instead,CPI rise equivalent,Difference in rise RPI to CPI,Working days per year,Cost per day of use 2016 (£),Cost per day of use 2017 (£),Cost per day of use 2018 (£),Cost per day if CPI,Increase per day 2016 to 2017 (£),Increase per day 2018 RPI,Increase per day 2018 CPI,Cost per 1000 miles 2016,Cost per 1000 miles 2017,Cost per 1000 miles 2018 (forecast),Cost per 1000 miles 2018 using CPI,Rise per 1000 miles RPI,Rise per 1000 miles CPI,Difference per 1000 mile rise,2016 cost as % of gross pay,2016 as cost % of net pay,2017 as % of gross pay,2017 as % of net pay,Miles covered per year using the train every work day,Mileage (calculated via Google Places API),Round trip mileage
Harlow Town,London Liverpool Street,,"£3,432.00","£3,496.00","£3,621.86",£64.00,£125.86,"£3,586.90",£90.90,£34.96,228,£15.05,£15.33,£15.89,£15.73,£0.28,£0.56,£0.40,£378.52,£385.57,£399.45,£395.60,£13.88,£10.02,£3.86,10%,13%,10%,13%,9067,19.9,39.8
Sevenoaks,London,Valid on National Rail to other London terminals,"£3,320.00","£3,380.00","£3,501.68",£60.00,£121.68,"£3,467.88",£87.88,£33.80,228,£14.56,£14.82,£15.36,£15.21,£0.26,£0.54,£0.39,£373.16,£379.90,£393.58,£389.78,£13.68,£9.88,£3.80,9%,12%,9%,12%,8897,19.5,39
St Albans City,London St Pancras International,Also valid for other Thameslink stations,"£3,320.00","£3,380.00","£3,501.68",£60.00,£121.68,"£3,467.88",£87.88,£33.80,228,£14.56,£14.82,£15.36,£15.21,£0.26,£0.54,£0.39,£366.16,£372.78,£386.20,£382.47,£13.42,£9.69,£3.73,9%,12%,9%,12%,9067,19.9,39.8
East Didsbury,Manchester,,£864.00,£864.00,£895.10,£0.00,£31.10,£886.46,£22.46,£8.64,228,£3.79,£3.79,£3.93,£3.89,£0.00,£0.14,£0.10,£327.89,£327.89,£339.70,£336.42,£11.80,£8.53,£3.28,3%,4%,3%,4%,2635,5.8,11.6
Bishops Stortford,London Liverpool Street,,"£3,972.00","£4,044.00","£4,189.58",£72.00,£145.58,"£4,149.14",£105.14,£40.44,228,£17.42,£17.74,£18.38,£18.20,£0.32,£0.64,£0.46,£327.53,£333.47,£345.48,£342.14,£12.00,£8.67,£3.33,11%,15%,11%,15%,12127,26.6,53.2
Tonbridge,London,"Excludes Southeastern high speed, valid on national rail","£4,016.00","£4,088.00","£4,235.17",£72.00,£147.17,"£4,194.29",£106.29,£40.88,228,£17.61,£17.93,£18.58,£18.40,£0.32,£0.65,£0.47,£322.86,£328.64,£340.47,£337.19,£11.83,£8.54,£3.29,11%,15%,11%,15%,12439,27.3,54.6
Brentwood,London Liverpool Street,,"£2,532.00","£2,580.00","£2,672.88",£48.00,£92.88,"£2,647.08",£67.08,£25.80,228,£11.11,£11.32,£11.72,£11.61,£0.21,£0.40,£0.29,£308.14,£313.98,£325.29,£322.15,£11.30,£8.16,£3.14,7%,9%,7%,9%,8217,18,36
Tunbridge Wells,London,Valid on National Rail to other London terminals,"£4,404.00","£4,484.00","£4,645.42",£80.00,£161.42,"£4,600.58",£116.58,£44.84,228,£19.32,£19.67,£20.37,£20.18,£0.35,£0.70,£0.51,£307.78,£313.37,£324.65,£321.52,£11.28,£8.15,£3.13,12%,16%,12%,16%,14309,31.4,62.8
Bath Spa,Bristol,Any permitted route,"£1,552.00","£1,580.00","£1,636.88",£28.00,£56.88,"£1,621.08",£41.08,£15.80,228,£6.81,£6.93,£7.18,£7.11,£0.12,£0.25,£0.18,£296.07,£301.41,£312.26,£309.25,£10.85,£7.84,£3.01,5%,7%,5%,7%,5242,11.5,23
Macclesfield,Manchester,Any permitted route,"£2,484.00","£2,484.00","£2,573.42",£0.00,£89.42,"£2,548.58",£64.58,£24.84,228,£10.89,£10.89,£11.29,£11.18,£0.00,£0.40,£0.29,£296.17,£296.17,£306.83,£303.87,£10.66,£7.70,£2.96,9%,11%,9%,11%,8387,18.4,36.8
Stockport,Manchester,,£868.00,£868.00,£899.25,£0.00,£31.25,£890.57,£22.57,£8.68,228,£3.81,£3.81,£3.94,£3.91,£0.00,£0.13,£0.10,£291.76,£291.76,£302.27,£299.35,£10.50,£7.59,£2.92,3%,4%,3%,4%,2975,6.5,13
Luton,London St Pancras International,Also valid for other Thameslink stations,"£3,960.00","£4,032.00","£4,177.15",£72.00,£145.15,"£4,136.83",£104.83,£40.32,228,£17.37,£17.68,£18.32,£18.14,£0.32,£0.64,£0.46,£288.17,£293.41,£303.97,£301.04,£10.56,£7.63,£2.93,11%,15%,11%,14%,13742,30.1,60.3
Slough,London Paddington,,"£2,496.00","£2,540.00","£2,631.44",£44.00,£91.44,"£2,606.04",£66.04,£25.40,228,£10.95,£11.14,£11.54,£11.43,£0.19,£0.40,£0.29,£285.09,£290.12,£300.56,£297.66,£10.44,£7.54,£2.90,7%,9%,7%,9%,8755,19.2,38.4
Bracknell,London,,"£4,228.00","£4,308.00","£4,463.09",£80.00,£155.09,"£4,420.01",£112.01,£43.08,228,£18.54,£18.89,£19.57,£19.39,£0.35,£0.68,£0.50,£284.22,£289.59,£300.02,£297.12,£10.43,£7.53,£2.90,12%,16%,12%,15%,14876,32.6,65.2
Chelmsford,London Liverpool Street,,"£3,764.00","£3,832.00","£3,969.95",£68.00,£137.95,"£3,931.63",£99.63,£38.32,228,£16.51,£16.81,£17.41,£17.24,£0.30,£0.60,£0.43,£278.48,£283.52,£293.72,£290.89,£10.21,£7.37,£2.84,11%,14%,11%,14%,13516,29.6,59.3
Stevenage,London King's Cross,Also valid for Moorgate and Old Street,"£3,548.00","£3,612.00","£3,742.03",£64.00,£130.03,"£3,705.91",£93.91,£36.12,228,£15.56,£15.84,£16.41,£16.25,£0.28,£0.57,£0.41,£277.04,£282.03,£292.19,£289.37,£10.15,£7.33,£2.82,10%,13%,10%,13%,12807,28.1,56.2
Woking,London,Valid on National Rail to other London terminals,"£3,080.00","£3,136.00","£3,248.90",£56.00,£112.90,"£3,217.54",£81.54,£31.36,228,£13.51,£13.75,£14.25,£14.11,£0.25,£0.50,£0.36,£275.89,£280.90,£291.02,£288.21,£10.11,£7.30,£2.81,9%,11%,9%,11%,11164,24.5,49
Reigate,London,Valid on National Rail to other London terminals,"£2,700.00","£2,748.00","£2,846.93",£48.00,£98.93,"£2,819.45",£71.45,£27.48,228,£11.84,£12.05,£12.49,£12.37,£0.21,£0.44,£0.32,£269.95,£274.75,£284.64,£281.89,£9.89,£7.14,£2.75,8%,10%,8%,10%,10002,21.9,43.9
Yatton,Bristol,Any permitted route,"£1,452.00","£1,476.00","£1,529.14",£24.00,£53.14,"£1,514.38",£38.38,£14.76,228,£6.37,£6.47,£6.71,£6.64,£0.11,£0.24,£0.17,£265.50,£269.88,£279.60,£276.90,£9.72,£7.02,£2.70,5%,6%,5%,6%,5469,12,24
Runcorn,Liverpool,,"£1,504.00","£1,532.00","£1,587.15",£28.00,£55.15,"£1,571.83",£39.83,£15.32,228,£6.60,£6.72,£6.96,£6.89,£0.12,£0.24,£0.17,£265.40,£270.34,£280.07,£277.37,£9.73,£7.03,£2.70,5%,7%,6%,7%,5667,12.4,24.9
Altrincham,Manchester,,"£1,008.00","£1,008.00","£1,044.29",£0.00,£36.29,"£1,034.21",£26.21,£10.08,228,£4.42,£4.42,£4.58,£4.54,£0.00,£0.16,£0.12,£259.66,£259.66,£269.01,£266.41,£9.35,£6.75,£2.60,4%,5%,4%,4%,3882,8.5,17
High Wycombe,London Marylebone,Also valid for Paddington,"£3,376.00","£3,436.00","£3,559.70",£60.00,£123.70,"£3,525.34",£89.34,£34.36,228,£14.81,£15.07,£15.61,£15.46,£0.26,£0.54,£0.39,£257.89,£262.47,£271.92,£269.29,£9.45,£6.82,£2.62,10%,12%,9%,12%,13091,28.7,57.4
Nailsea and Blackwell,Bristol,Any permitted route,£924.00,£940.00,£973.84,£16.00,£33.84,£964.44,£24.44,£9.40,228,£4.05,£4.12,£4.27,£4.23,£0.07,£0.15,£0.11,£250.88,£255.23,£264.41,£261.86,£9.19,£6.64,£2.55,3%,4%,3%,4%,3683,8.1,16.2
Crawley,London,Valid on National Rail to other London terminals,"£3,508.00","£3,572.00","£3,700.59",£64.00,£128.59,"£3,664.87",£92.87,£35.72,228,£15.39,£15.67,£16.23,£16.07,£0.28,£0.56,£0.40,£248.11,£252.63,£261.73,£259.20,£9.09,£6.57,£2.53,10%,13%,10%,13%,14139,31,62
Guildford,London,Valid on National Rail to other London terminals,"£3,432.00","£3,496.00","£3,621.86",£64.00,£125.86,"£3,586.90",£90.90,£34.96,228,£15.05,£15.33,£15.89,£15.73,£0.28,£0.56,£0.40,£246.18,£250.77,£259.80,£257.29,£9.03,£6.52,£2.51,10%,13%,10%,13%,13941,30.6,61.1
Wilmslow,Manchester,Any permitted route,"£1,428.00","£1,428.00","£1,479.41",£0.00,£51.41,"£1,465.13",£37.13,£14.28,228,£6.26,£6.26,£6.49,£6.43,£0.00,£0.23,£0.17,£245.83,£245.83,£254.68,£252.22,£8.85,£6.39,£2.46,5%,7%,5%,6%,5809,12.7,25.5
Gillingham (Kent),London,"Excludes Southeastern high speed, valid on national rail","£3,912.00","£3,984.00","£4,127.42",£72.00,£143.42,"£4,087.58",£103.58,£39.84,228,£17.16,£17.47,£18.10,£17.93,£0.32,£0.63,£0.46,£245.24,£249.75,£258.74,£256.24,£8.99,£6.49,£2.50,11%,14%,11%,14%,15952,35,70
Milton Keynes,London Euston,,"£4,936.00","£5,028.00","£5,209.01",£92.00,£181.01,"£5,158.73",£130.73,£50.28,228,£21.65,£22.05,£22.85,£22.63,£0.40,£0.80,£0.58,£243.31,£247.84,£256.77,£254.29,£8.92,£6.44,£2.48,14%,18%,14%,18%,20287,44.5,89
Widnes,Liverpool,,"£1,280.00","£1,280.00","£1,326.08",£0.00,£46.08,"£1,313.28",£33.28,£12.80,228,£5.61,£5.61,£5.82,£5.76,£0.00,£0.21,£0.15,£240.29,£240.29,£248.94,£246.53,£8.65,£6.25,£2.40,5%,6%,5%,6%,5327,11.7,23.4
Witham,London Liverpool Street,,"£4,200.00","£4,276.00","£4,429.94",£76.00,£153.94,"£4,387.18",£111.18,£42.76,228,£18.42,£18.75,£19.43,£19.24,£0.33,£0.68,£0.49,£239.47,£243.80,£252.58,£250.14,£8.78,£6.34,£2.44,12%,15%,12%,15%,17539,38.5,76.9
Grays (Essex),London Liverpool Street,Also valid for Fenchurch Street,"£2,256.00","£2,296.00","£2,378.66",£40.00,£82.66,"£2,355.70",£59.70,£22.96,228,£9.89,£10.07,£10.43,£10.33,£0.18,£0.36,£0.26,£238.38,£242.60,£251.34,£248.91,£8.73,£6.31,£2.43,6%,8%,6%,8%,9464,20.8,41.5
Bradford,Leeds,,"£1,008.00","£1,016.00","£1,052.58",£8.00,£36.58,"£1,042.42",£26.42,£10.16,228,£4.42,£4.46,£4.62,£4.57,£0.04,£0.16,£0.11,£232.53,£234.37,£242.81,£240.47,£8.44,£6.09,£2.34,4%,5%,4%,5%,4335,9.5,19
Maidstone stations,London,"Valid on National Rail to other London terminals, excludes Southeastern","£4,220.00","£4,296.00","£4,450.66",£76.00,£154.66,"£4,407.70",£111.70,£42.96,228,£18.51,£18.84,£19.52,£19.33,£0.33,£0.68,£0.49,£230.55,£234.70,£243.15,£240.81,£8.45,£6.10,£2.35,12%,16%,12%,15%,18304,40.1,80.3
Reading,London,Valid on National Rail to other London terminals,"£4,228.00","£4,308.00","£4,463.09",£80.00,£155.09,"£4,420.01",£112.01,£43.08,228,£18.54,£18.89,£19.57,£19.39,£0.35,£0.68,£0.50,£229.92,£234.27,£242.70,£240.36,£8.43,£6.09,£2.34,12%,16%,12%,15%,18389,40.3,80.7
Horsham,London,Valid on National Rail to other London terminals,"£3,916.00","£3,988.00","£4,131.57",£72.00,£143.57,"£4,091.69",£103.69,£39.88,228,£17.18,£17.49,£18.12,£17.95,£0.32,£0.63,£0.46,£225.46,£229.60,£237.87,£235.57,£8.27,£5.97,£2.30,11%,14%,11%,14%,17369,38.1,76.2
Farnham,London,Valid on National Rail to other London terminals,"£3,816.00","£3,888.00","£4,027.97",£72.00,£139.97,"£3,989.09",£101.09,£38.88,228,£16.74,£17.05,£17.67,£17.50,£0.32,£0.62,£0.45,£219.70,£223.85,£231.91,£229.67,£8.06,£5.82,£2.24,11%,14%,11%,14%,17369,38.1,76.2
Royston,London King's Cross,Also valid for Moorgate and Old Street,"£4,536.00","£4,620.00","£4,786.32",£84.00,£166.32,"£4,740.12",£120.12,£46.20,228,£19.89,£20.26,£20.99,£20.79,£0.37,£0.73,£0.53,£219.30,£223.36,£231.40,£229.17,£8.04,£5.81,£2.23,13%,17%,13%,17%,20684,45.4,90.7
Aylesbury,London Marylebone,Can also travel to Paddington,"£3,848.00","£3,920.00","£4,061.12",£72.00,£141.12,"£4,021.92",£101.92,£39.20,228,£16.88,£17.19,£17.81,£17.64,£0.32,£0.62,£0.45,£217.99,£222.07,£230.07,£227.85,£7.99,£5.77,£2.22,11%,14%,11%,14%,17652,38.7,77.4
Guiseley,Leeds,,"£1,004.00","£1,012.00","£1,048.43",£8.00,£36.43,"£1,038.31",£26.31,£10.12,228,£4.40,£4.44,£4.60,£4.55,£0.04,£0.16,£0.11,£217.36,£219.10,£226.98,£224.79,£7.89,£5.70,£2.19,4%,5%,4%,5%,4619,10.1,20.3
Rochdale,Manchester,,"£1,116.00","£1,116.00","£1,156.18",£0.00,£40.18,"£1,145.02",£29.02,£11.16,228,£4.89,£4.89,£5.07,£5.02,£0.00,£0.18,£0.13,£215.24,£215.24,£222.98,£220.83,£7.75,£5.60,£2.15,4%,5%,4%,5%,5185,11.4,22.7
Wakefield Westgate,Leeds,,"£1,004.00","£1,012.00","£1,048.43",£8.00,£36.43,"£1,038.31",£26.31,£10.12,228,£4.40,£4.44,£4.60,£4.55,£0.04,£0.16,£0.11,£214.76,£216.47,£224.26,£222.10,£7.79,£5.63,£2.16,4%,5%,4%,5%,4675,10.3,20.5
Braintree,London Liverpool Street,,"£4,264.00","£4,344.00","£4,500.38",£80.00,£156.38,"£4,456.94",£112.94,£43.44,228,£18.70,£19.05,£19.74,£19.55,£0.35,£0.69,£0.50,£214.37,£218.39,£226.25,£224.07,£7.86,£5.68,£2.18,12%,16%,12%,16%,19891,43.6,87.2
Bradford-on-Avon,Bristol,Any permitted route,"£2,032.00","£2,068.00","£2,142.45",£36.00,£74.45,"£2,121.77",£53.77,£20.68,228,£8.91,£9.07,£9.40,£9.31,£0.16,£0.33,£0.24,£213.45,£217.23,£225.05,£222.87,£7.82,£5.65,£2.17,7%,9%,7%,9%,9520,20.9,41.8
